Daniel	Inouye	D	HI 
Patrick	Leahy	D	VT 
Richard	Lugar	R	IN 
Orrin	Hatch	R	UT 
Max	Baucus	D	MT 
Thad	Cochran	R	MS 
Carl	Levin	D	MI 
Chuck	Grassley	R	IA 
Jeff	Bingaman	D	NM 
John	Kerry	D	MA 
Tom	Harkin	D	IA 
Mitch	McConnell	R	KY 
Jay	Rockefeller	D	WV 
Barbara	Mikulski	D	MD 
Richard	Shelby	R	AL 
John	McCain	R	AZ 
Harry	Reid	D	NV 
Kent	Conrad	D	ND 
Herb	Kohl	D	WI 
Joe	Lieberman	ID	CT 
Daniel	Akaka	D	HI 
Dianne	Feinstein	D	CA 
Barbara	Boxer	D	CA 
Patty	Murray	D	WA 
Kay	Hutchison	R	TX 
Jim	Inhofe	R	OK 
Olympia	Snowe	R	ME 
Jon	Kyl	R	AZ 
Ron	Wyden	D	OR 
Pat	Roberts	R	KS 
Dick	Durbin	D	IL 
Tim	Johnson	D	SD 
Jack	Reed	D	RI 
Mary	Landrieu	D	LA 
Jeff	Sessions	R	AL 
Susan	Collins	R	ME 
Mike	Enzi	R	WY 
Chuck	Schumer	D	NY 
Mike	Crapo	R	ID 
Bill	Nelson	D	FL 
Tom	Carper	D	DE 
Debbie	Stabenow	D	MI 
Maria	Cantwell	D	WA 
Ben	Nelson	D	NE 
Lisa	Murkowski	R	AK 
Frank	Lautenberg	D	NJ 
Saxby	Chambliss	R	GA 
Lindsey	Graham	R	SC 
Lamar	Alexander	R	TN 
John	Cornyn	R	TX 
Mark	Pryor	D	AR 
Richard	Burr	R	NC 
Jim	DeMint	R	SC 
Tom	Coburn	R	OK 
John	Thune	R	SD 
Johnny	Isakson	R	GA 
David	Vitter	R	LA 
Bob	Menendez	D	NJ 
Ben	Cardin	D	MD 
Bernie	Sanders	I	VT 
Sherrod	Brown	D	OH 
Bob	Casey	D	PA 
Jim	Webb	D	VA 
Bob	Corker	R	TN 
Claire	McCaskill	D	MO 
Amy	Klobuchar	D	MN 
Sheldon	Whitehouse	D	RI 
Jon	Tester	D	MT 
John	Barrasso	R	WY 
Roger	Wicker	R	MS 
Mark	Udall	D	CO 
Tom	Udall	D	NM 
Mike	Johanns	R	NE 
Jeanne	Shaheen	D	NH 
Mark	Warner	D	VA 
Jim	Risch	R	ID 
Kay	Hagan	D	NC 
Jeff	Merkley	D	OR 
Mark	Begich	D	AK 
Michael	Bennet	D	CO 
Kirsten	Gillibrand	D	NY 
Al	Franken	D	MN 
Scott	Brown	R	MA 
Joe	Manchin	D	WV 
Chris	Coons	D	DE 
Mark	Kirk	R	IL 
Dan	Coats	R	IN
Roy	Blunt	R	MO 
Jerry	Moran	R	KS 
Rob	Portman	R	OH 
John	Boozman	R	AR 
Pat	Toomey	R	PA 
John	Hoeven	R	ND 
Marco	Rubio	R	FL 
Ron	Johnson	R	WI 
Rand	Paul	R	KY 
Richard	Blumenthal	D	CT 
Mike	Lee	R	UT 
Kelly	Ayotte	R	NH 
Dean	Heller	R	NV 
